No.,S/N,Spec,Quotation No.,Date Start ,Expire Date,Company,à¸à¸³à¸«à¸à¸´,à¸­à¹à¸²à¸à¸­à¸´à¸,,,8,
1,R66-01-004,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,Home,
2,R66-01-019,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,"i9-13900KF, Ram16GB, M.2 500GB",
3,R66-01-027,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
4,R66-01-001,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
5,R66-01-022,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
6,R66-01-023,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
7,R66-01-006,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
8,R66-01-018,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
9,R66-01-012,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
10,R66-01-013,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
11,R66-01-009,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
12,R66-01-007,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
13,R66-01-008,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
14,R66-01-020,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
15,R66-01-005,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
16,R66-01-010,"i9-13900KF, Ram32GB, M.2 500GB",2605-0332-04,06/06/2026,05/09/2026,Huawei,,,,,,
17,R66-01-003,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
18,R66-01-011,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
19,R66-01-017,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
20,R66-01-014,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
21,R66-01-025,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
22,R66-01-028,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
23,R66-01-026,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
24,R66-01-016,"i9-13900KF, Ram16GB, M.2 500GB",,,,,,,,,,
25,R66-01-002,i9-13900KF Ram32GB M.2 500GB,2607-0135,10/07/2026,09/08/2026,à¸à¸à¸´à¸¢à¸°,,,,,RTX3050,4719331310691
26,R66-01-021,"i9-13900KF, Ram16GB, M.2 500GB",,,,,[USB3.0 à¹à¸ªà¸µà¸¢ 1 Port],,,,,
